,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,pageview_sum,pageview_mean,PIE,PACE,SALARY,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
171,183,JaMychal Green,PF,26,27.3,3.2,6.5,0.5,0.7,1.9,0.379,2.5,4.6,0.5489999999999999,0.555,1.7,2.2,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9,56062,153.17486338797815,9.3,94.31,,MEM,77,27.3,-0.41,0.39,-0.02,3.94,,
172,184,Skal Labissiere,PF,20,18.5,3.5,6.6,0.537,0.1,0.2,0.375,3.5,6.4,0.5429999999999999,0.544,1.6,2.2,0.703,1.5,3.4,4.9,0.8,0.5,0.4,1.1,1.9,8.8,3625,9.904371584699453,10.6,97.78,,SAC,33,18.5,-1.93,-0.04,-1.97,0.45,,
173,185,Al-Farouq Aminu,SF,26,29.1,3.0,7.6,0.39299999999999996,1.1,3.5,0.33,1.9,4.2,0.445,0.46799999999999997,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,221189,604.3415300546449,9.2,98.38,7680965.0,POR,61,29.1,-1.86,3.13,1.27,4.86,33.0,9.0
174,186,Rondae Hollis-Jefferson,SF,22,22.6,3.0,6.9,0.434,0.2,0.9,0.22399999999999998,2.8,6.1,0.46299999999999997,0.447,2.4,3.2,0.7509999999999999,1.2,4.6,5.8,2.0,1.1,0.6,1.5,2.3,8.7,80986,221.27322404371586,9.8,104.94,1395600.0,BKN,78,22.6,-2.16,1.78,-0.38,3.29,,
175,187,Nerlens Noel,C,22,20.5,3.6,6.1,0.595,0.0,0.0,0.0,3.6,6.0,0.597,0.595,1.5,2.2,0.6940000000000001,1.8,3.9,5.8,1.0,1.3,1.0,1.0,2.5,8.7,333784,911.9781420765028,12.7,98.69,4384490.0,DAL/PHI,51,20.5,-1.33,2.58,1.25,2.95,105.0,64.0
176,188,Marreese Speights,C,29,15.7,3.0,6.7,0.445,1.3,3.4,0.37200000000000005,1.7,3.3,0.52,0.539,1.5,1.7,0.8759999999999999,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,400721,1094.8661202185792,11.4,97.43,1403611.0,LAC,82,15.7,0.67,0.69,1.36,3.66,80.0,12.0
177,190,Monta Ellis,SG,31,27.0,3.3,7.5,0.44299999999999995,0.6,1.8,0.319,2.8,5.7,0.483,0.48200000000000004,1.3,1.7,0.727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2.0,8.5,336578,919.6120218579235,6.9,98.1,10763500.0,IND,74,27.0,-1.32,-1.64,-2.96,0.21,,
178,191,Tony Snell,SG,25,29.2,3.1,6.8,0.455,1.8,4.4,0.406,1.3,2.3,0.5479999999999999,0.588,0.6,0.7,0.81,0.3,2.8,3.1,1.2,0.7,0.2,0.7,1.6,8.5,2587,7.087671232876712,6.5,96.85,2368327.0,MIL,80,29.2,-0.02,-0.85,-0.87,3.29,,
179,192,Arron Afflalo,SG,31,25.9,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,2.0,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,161367,440.89344262295083,5.8,96.17,12500000.0,SAC,61,25.9,-1.43,-2.85,-4.28,-1.12,,
180,193,Tyson Chandler,C,34,27.6,3.3,4.9,0.6709999999999999,0.0,0.0,,3.3,4.9,0.6709999999999999,0.6709999999999999,1.9,2.6,0.7340000000000001,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,334460,913.8251366120219,13.1,101.88,12415000.0,PHX,47,27.6,-1.06,2.2,1.14,3.55,29.0,9.0
